"annotation_id","annotator","created_at","id","image","label","lead_time","updated_at"
4,"1","2026-01-19T08:09:36.564992Z",412,"/data/local-files/?d=raw_captures/side_view_2/20260119_164856.jpg","[{""x"":0,""y"":0.3517329692840576,""width"":40.13969600200653,""height"":87.00799345970154,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":21.50722658187232,""y"":25.085664379268753,""width"":10.929853181076647,""height"":41.181801703824625,""rotation"":349.24512229905133,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",12.76,"2026-01-19T08:09:36.565030Z"
6,"1","2026-01-19T08:09:49.378617Z",414,"/data/local-files/?d=raw_captures/top_back_view/20260119_164917.jpg","[{""x"":17.38819181919098,""y"":42.785778641700745,""width"":77.67156958580017,""height"":57.12656378746033,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":37.75095045566559,""y"":27.31836512684822,""width"":29.176312685012817,""height"":17.982672154903412,""rotation"":0,""rectanglelabels"":[""Truck""],""original_width"":1920,""original_height"":1080},{""x"":52.93637846655792,""y"":45.967011056733725,""width"":17.699836867862967,""height"":8.265361609570418,""rotation"":0,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",9.893,"2026-01-19T08:09:49.378630Z"
67,"1","2026-01-19T08:11:13.237032Z",475,"/data/local-files/?d=raw_captures/side_view_1/20260119_165144_0008.jpg","[{""x"":4.821178317070007,""y"":2.1294713020324707,""width"":74.82030391693115,""height"":96.7442274093628,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":92.57316589355469,""y"":48.0719655752182,""width"":7.4268341064453125,""height"":51.73200964927673,""rotation"":0,""rectanglelabels"":[""Truck""],""original_width"":1920,""original_height"":1080},{""x"":44.01633004244714,""y"":22.419262476975717,""width"":6.3098950314718465,""height"":46.56333037035283,""rotation"":5.170421785688575,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",19.686,"2026-01-19T08:11:13.237047Z"
71,"1","2026-01-19T08:11:35.327938Z",479,"/data/local-files/?d=raw_captures/side_view_1/20260119_165144_0009.jpg","[{""x"":4.396471381187439,""y"":2.234935760498047,""width"":80.1577627658844,""height"":96.98708057403564,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":48.41009752130348,""y"":25.596314247316926,""width"":7.929437466282531,""height"":52.39102002006776,""rotation"":7.236922025967601,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",15.969,"2026-01-19T08:11:35.327954Z"
75,"1","2026-01-19T08:11:55.479926Z",483,"/data/local-files/?d=raw_captures/side_view_1/20260119_165144_0010.jpg","[{""x"":4.34432327747345,""y"":2.4165302515029907,""width"":82.64172673225403,""height"":96.92628979682922,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":50.23714286025714,""y"":26.053891835329914,""width"":10.260596726507632,""height"":55.00875248465314,""rotation"":8.085901237609619,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",13.087,"2026-01-19T08:11:55.479940Z"
93,"1","2026-01-19T08:12:29.033092Z",501,"/data/local-files/?d=raw_captures/top_view/20260119_165144_0015.jpg","[{""x"":34.357716143131256,""y"":0.7185250520706177,""width"":30.27372658252716,""height"":50.198543071746826,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":26.616311073303223,""y"":50.10718256235123,""width"":42.94489622116089,""height"":49.45380389690399,""rotation"":0,""rectanglelabels"":[""Truck""],""original_width"":1920,""original_height"":1080},{""x"":57.335187339013196,""y"":26.23030759082256,""width"":2.7732463295269274,""height"":24.361065796628612,""rotation"":4.692862505588778,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",10.296,"2026-01-19T08:12:29.033109Z"
97,"1","2026-01-19T08:12:54.674292Z",505,"/data/local-files/?d=raw_captures/top_view/20260119_165144_0016.jpg","[{""x"":33.94589275121689,""y"":1.1299312114715576,""width"":31.68773353099823,""height"":55.50810098648071,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":24.863578379154205,""y"":56.340184807777405,""width"":46.75457775592804,""height"":43.38105320930481,""rotation"":0,""rectanglelabels"":[""Truck""],""original_width"":1920,""original_height"":1080},{""x"":57.802833208776406,""y"":29.748695506677574,""width"":2.4460917259115575,""height"":27.261192677179707,""rotation"":2.8221552998113566,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",19.494,"2026-01-19T08:12:54.674305Z"
101,"1","2026-01-19T08:13:25.371224Z",509,"/data/local-files/?d=raw_captures/top_view/20260119_165144_0017.jpg","[{""x"":33.17034989595413,""y"":1.701405644416809,""width"":33.57280790805817,""height"":61.26639246940613,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":24.41050410270691,""y"":64.61609601974487,""width"":49.53704476356506,""height"":35.032105445861816,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":24.480585753917694,""y"":63.24688047170639,""width"":49.18103516101837,""height"":36.42025291919708,""rotation"":0,""rectanglelabels"":[""Truck""],""original_width"":1920,""original_height"":1080},{""x"":59.03180072368721,""y"":31.98202923398057,""width"":2.3055669694059326,""height"":30.944635583796682,""rotation"":6.045506909571316,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080},{""x"":38.74388254486132,""y"":23.34602138843573,""width"":11.66394779771615,""height"":3.3351459126336884,""rotation"":0,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",24.434,"2026-01-19T08:13:25.371238Z"
105,"1","2026-01-19T08:14:04.933081Z",513,"/data/local-files/?d=raw_captures/top_view/20260119_165144_0018.jpg","[{""x"":31.859205663204193,""y"":1.3574063777923584,""width"":36.074867844581604,""height"":69.73883509635925,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":22.48331606388092,""y"":69.08686757087708,""width"":53.7167489528656,""height"":30.714547634124756,""rotation"":0,""rectanglelabels"":[""Truck""],""original_width"":1920,""original_height"":1080},{""x"":22.460269927978516,""y"":69.50704157352448,""width"":53.449249267578125,""height"":30.205637216567993,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":59.754086783678986,""y"":34.761550496515284,""width"":2.3022699280275742,""height"":33.10995494156979,""rotation"":5.443976698908841,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080},{""x"":38.09135399673736,""y"":26.3911546130143,""width"":11.256117455138664,""height"":2.900126880551033,""rotation"":0,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",24.872,"2026-01-19T08:14:04.933095Z"
108,"1","2026-01-19T08:14:24.896654Z",516,"/data/local-files/?d=raw_captures/side_view_2/20260119_165144_0018.jpg","[{""x"":29.562008380889893,""y"":0.44723451137542725,""width"":35.37863492965698,""height"":82.95729160308838,""rotation"":0,""rectanglelabels"":[""Truck""],""original_width"":1920,""original_height"":1080},{""x"":64.21881467103958,""y"":0,""width"":35.72870194911957,""height"":46.56914174556732,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":80.22574395946418,""y"":2.0829603104004395,""width"":1.7054411433507284,""height"":24.072932950834478,""rotation"":16.164499152256553,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",16.37,"2026-01-19T08:14:24.896667Z"
